TOTAL WALL PRIMS: 17
w-koridor-n      side=n line=-8.5 len=1.06
w-koridor-s      side=s line=8.940000000000001 len=1.06
w-koridor-w      side=w line=-8.5 len=17.56
w-koridor-e      side=e line=-7.5600000000000005 len=17.56
w-k1-n           side=n line=-8.5 len=5.51
w-k1-s           side=s line=-5 len=5.51
w-k1-e           side=e line=-2.1100000000000003 len=3.62
w-k2-s           side=s line=-1.5 len=5.51
w-k2-e           side=e line=-2.1100000000000003 len=3.62
w-k3-s           side=s line=2 len=5.51
w-k3-e           side=e line=-2.1100000000000003 len=3.62
w-km1-s          side=s line=4.15 len=3.10
w-km1-e          side=e line=-4.52 len=2.27
w-km2-s          side=s line=6.5 len=3.10
w-km2-e          side=e line=-4.52 len=2.47
w-laundry-s      side=s line=8.649999999999999 len=3.10
w-laundry-e      side=e line=-4.52 len=2.27
